1. Literature Circle Guide: A Wrinkle in Time
2. Literature Circle Guide: Bridge to Terabithia: Everything You Need For Successful Literature Circles That Get Kids Thinking  Talking  Writing—and Loving Literature
3. Expository Writing: Mini-Lessons * Strategies * Activities
0. Scholastic Success with 4th Grade Workbook
