1. Ultimate Punishment
2. Death in Kashmir
3. Jinx High (Diana Tregarde  #3)
4. Children of the Night (Diana Tregarde  #2)
5. Lovelock (Mayflower Trilogy  #1)
6. The Wicked (Vampire Huntress  #8)
7. The Sorrows of Empire: Militarism  Secrecy  and the End of the Republic
8. Vita
0. Chemistry and Other Stories
