1. Sparrow Hawk Red
2. The Lake of Souls (Cirque du Freak #10)
3. Trials of Death (Cirque Du Freak  #5)
4. Saint George and the Dragon
5. Return to Ithaca (Tales from the Odyssey  #5)
6. The Gray-Eyed Goddess (Tales from the Odyssey  #4)
7. The Hello  Goodbye Window
8. Rose in Bloom (Eight Cousins  #2)
9. Tough to Tackle
10. Catch That Pass!
11. Son of the Mob (Son of the Mob  #1)
12. The Foretelling
13. Incantation
14. At the Edge of the World (Crispin  #2)
15. The Land of the Dead (Tales from the Odyssey  #2)
16. The One-Eyed Giant (Tales from the Odyssey  #1)
17. The Final Battle (Tales from the Odyssey  #6)
18. Story of a Girl
19. The Big Box
20. The Meanest Doll in the World (Doll People  #2)
0. John  Paul  George & Ben
