1. Moloka'i (Moloka'i #1)
2. The Final Season: Fathers  Sons  and One Last Season in a Classic American Ballpark
3. The Last Jew
4. Waiting for My Cats to Die: A Memoir
5. Dumbing Down Our Kids: Why American Children Feel Good About Themselves But Can't Read  Write or Add
6. Dominion: The Power of Man  the Suffering of Animals  and the Call to Mercy
7. Kiss Me Like a Stranger: My Search for Love and Art
8. Jenny and the Jaws of Life: Short Stories
9. The Far Pavilions
10. McCarthy's Bar: A Journey of Discovery in Ireland
11. An Unfortunate Woman
12. Think Like a Guy: How to Get a Guy by Thinking Like One
13. Not Since Carrie: Forty Years of Broadway Musical Flops
14. Sideways
15. Mary Queen of Scotland and The Isles
16. The Gatekeeper: A Memoir
17. Birds of Prey (Courtney #9)
18. Bachelor Brothers' Bed & Breakfast Pillow Book
19. Be Happy or I'll Scream!: My Deranged Quest for the Perfect Husband  Family  and Life
20. Four Weddings and a Funeral
21. Superfolks
22. A Writer's Workbook: Daily Exercises for the Writing Life
23. Something Borrowed (Darcy & Rachel  #1)
24. The Pythons Autobiography by The Pythons
25. On Intelligence
26. Joe College
27. Where the Mountain Casts Its Shadow: The Dark Side of Extreme Adventure
28. Inside the Mind of Gideon Rayburn (Midvale Academy  #1)
29. One Thousand White Women: The Journals of May Dodd (One Thousand White Women  #1)
30. The Everyday I Ching
31. Nobody Loves a Centurion (SPQR  #6)
32. Little Children
33. Marilyn Manson
34. James Herriot's Dog Stories
35. Dirty Little Secrets
36. The Bitten (Vampire Huntress  #4)
37. The Forsaken (Vampire Huntress  #7)
38. The Damned (Vampire Huntress  #6)
39. The Great Ape Project: Equality Beyond Humanity
40. Modern Classics of Science Fiction
41. P.S. Your Cat Is Dead
42. All Things Wise and Wonderful
0. Marching Powder: A True Story of Friendship  Cocaine  and South America's Strangest Jail
