1. Anna Karenina
2. The Kingdom of God Is Within You
3. The Trojan Women and Hippolytus
4. The Oresteia Trilogy: Agamemnon/The Libation-Bearers/The Furies
5. Pride and Prejudice
6. The House of Mirth
7. A Modest Proposal and Other Satirical Works
8. A General History of the Pyrates
9. Adventures of Huckleberry Finn
10. The Wit and Wisdom of Mark Twain
11. Howards End
12. Gorgias/Timaeus
13. Three Men in a Boat: To Say Nothing of the Dog
14. An Ideal Husband
15. The Woman in White
16. Ruthless Rhymes for Heartless Homes and More Ruthless Rhymes
17. Pygmalion
18. The Metamorphosis and Other Stories
19. The Burgess Bird Book for Children
20. The Burgess Animal Book for Children
21. The Adventures of Jimmy Skunk
22. Best Science Fiction Stories of H. G. Wells
23. Technical Manual and Dictionary of Classical Ballet
24. Ballet Class
25. Selections from Don Quixote - Selecciones de Don Quijote de la Mancha
26. Women in Love
27. Babbitt
28. The Oil Jar and Other Stories
29. The Road Not Taken and Other Poems
30. The Castle of Otranto
31. The Worm Ouroboros
32. Eight Cousins (Eight Cousins  #1)
33. The Sword of Welleran and Other Stories
34. Thirty Years that Shook Physics: The Story of Quantum Theory
35. Introduction to Linear Algebra and Differential Equations
36. Black Beauty (Coloring Book)
37. The House of the Dead
38. The Idiot
39. Pictorial Encyclopedia of Trades and Industry  Vol 1
40. Oliver Twist
41. Critique of Pure Reason
42. Dr. Faustus
43. Politics
44. The Overcoat and Other Short Stories
45. The Rime of the Ancient Mariner and Other Poems
46. The World as Will and Representation  Vol. 1
47. Essay on the Freedom of the Will
48. The Wit and Wisdom of Abraham Lincoln: A Book of Quotations
49. The Wisdom of Life
50. Discourse on the Origin of Inequality
51. The Marriage of Heaven and Hell
52. Flowers of Evil and Other Works/Les Fleurs du Mal et Oeuvres Choisies : A Dual-Language Book (Dover Foreign Language Study Guides) (English and French Edition)
53. Intimate Journals
54. Demian
55. The Philosophy of History
56. Quicksand
57. The Jew of Malta
58. Diary of a Madman and Other Stories
59. The Will to Believe  Human Immortality and Other Essays in Popular Philosophy
60. The Philosophy of History
61. Philosophy of Right
62. The Pilgrim's Progress
63. The Communist Manifesto and Other Revolutionary Writings: Marx  Marat  Paine  Mao  Gandhi  and Others
64. The Gift of the Magi and Other Short Stories
65. 1001 Illuminated Initial Letters: 27 Full-Color Plates
66. Hunger
67. World War One British Poets: Brooke  Owen  Sassoon  Rosenberg and Others
68. On the Origin of Species by Means of Natural Selection
69. Physics of Fully Ionized Gases
70. Best Ghost and Horror Stories
71. Children's Christmas Stories and Poems: In Easy-to-Read Type
72. The Odyssey
73. The Secret Garden Coloring Book
74. Autobiography of Thomas Jefferson
75. Mozart's Don Giovanni (the Dover Opera Libretto Series)
76. Arms and Armor: A Pictorial Archive from Nineteenth-Century Sources
77. Young Goodman Brown and Other Short Stories
78. Galapagos: World's End
79. The Theban Plays: Oedipus Rex  Oedipus at Colonus & Antigone
80. Life Is a Dream
81. Life Is A Dream = La Vida Es Sueño
82. Great Speeches by African Americans: Frederick Douglass  Sojourner Truth  Dr. Martin Luther King  Jr.  Barack Obama  and Others
83. Apologia Pro Vita Sua (A Defense of One's Life)
84. Great Russian Short Stories
0. Kim
