1. Modern Latin America
2. Phaedrus
3. Bakkhai
4. Alcestis
5. Medea
6. The Oresteia
7. Clouds
8. Peace
9. Augustine: A Very Short Introduction
10. Antigone
11. Comoediae 1: Acharenses/Equites/Nubes/Vespae/Pax/Aves
12. Jane Austen's Letters
13. Moby Dick: or The White Whale (Oxford Illustrated Classics)
14. Moby Dick: Or  the White Whale (Oxford Illustrated Classics Series)
15. Sun Tzu and the Art of Business: Six Strategic Principles for Managers
16. Oxford Guides to Chaucer: The Canterbury Tales
17. The Tragedy of Pudd'nhead Wilson/Those Extraordinary Twins
18. The Selected Journals Of L.M. Montgomery  Vol. 5: 1935-1942
19. Party Shoes (Shoes  #5)
20. Truth and Fiction in The Da Vinci Code: A Historian Reveals What We Really Know about Jesus  Mary Magdalene & Constantine
21. The Damned and the Beautiful: American Youth in the 1920's
22. The Illustrated Art of War
23. The Faiths of the Founding Fathers
24. The Moonstone
25. Ride of the Second Horseman: The Birth and Death of War
26. A Midsummer Night's Dream
27. A Midsummer Night's Dream
28. Thomas Jefferson (Oxford Portraits)
29. The Picture of Dorian Gray
30. Acts of God: The Unnatural History of Natural Disaster in America
31. Much Ado about Nothing (Oxford School Shakespeare)
32. Julius Caesar
33. Presocratic Philosophy: A Very Short Introduction
34. Faust  Part One
35. Faust  Part Two
36. Inferno (La Divina Commedia #1)
37. King Lear
38. Hamlet (Oxford Bookworms Library: Stage 2)
39. El Libertador: Writings of Simón Bolívar
40. Purgatorio (La Divina Commedia #2)
41. The Great Philosophers: An Introduction to Western Philosophy
42. Taxation of Mineral Rents
43. Norse Mythology: A Guide to the Gods  Heroes  Rituals  and Beliefs
44. Tales of the Norse Gods
45. Augustine
46. Strategies of Containment: A Critical Appraisal of American National Security Policy During the Cold War
47. First Love and Other Stories
48. American Legal History: Cases and Materials
49. Notebooks of the Mind: Explorations of Thinking  Revised Edition
50. A Christmas Carol and Other Christmas Books
51. Curry: A Tale of Cooks and Conquerors
52. The Oxford Companion to Philosophy
53. Philosophy of Mind: Classical and Contemporary Readings
54. An Introduction to Political Philosophy
55. Ancient Philosophy
56. Contemporary Political Philosophy
57. The Oxford Handbook of Philosophy of Mathematics and Logic
58. The Philosophy of Biology
59. Paul Revere's Ride
60. The Great Wave: Price Revolutions and the Rhythm of History
61. Growing Old in America: The Bland-Lee Lectures Delivered at Clark University
62. Much Ado about Nothing
63. Battle Cry of Freedom
64. Manic-Depressive Illness: Bipolar Disorders and Recurrent Depression
65. Justice Oliver Wendell Holmes: Law and the Inner Self
66. The Oxford Dictionary of Quotations
67. Egyptian Myth: A Very Short Introduction
68. Power  Sex  Suicide: Mitochondria and the Meaning of Life
69. The Hound of the Baskervilles
70. The Origins of Life: From the Birth of Life to the Origin of Language
71. The Call of the Wild  White Fang and Other Stories
72. Brown V. Board of Education: A Civil Rights Milestone and Its Troubled Legacy
73. The Meaning of Life
74. Masters of Small Worlds: Yeoman Households  Gender Relations  and the Political Culture of the Antebellum South Carolina Low Country
0. Miss or Mrs?/ The Haunted Hotel/ The Guilty River
