1. Four Comedies: Lysistrata / The Frogs / The Birds / Ladies' Day
2. The Gospel According to Jesus Christ
3. Animals in Translation: Using the Mysteries of Autism to Decode Animal Behavior
4. Baudolino
5. The Double Flame: Love and Eroticism
6. Voices (Annals of the Western Shore  #2)
7. Gifts (Annals of the Western Shore  #1)
8. The Cyberiad
9. Frankenstein Makes a Sandwich
10. To the Lighthouse
0. Winter Is the Warmest Season
