1. The Portrait of a Lady
2. Pride and Prejudice
3. A Tale of Two Cities
4. Moby-Dick
5. The Brothers Karamazov
6. Vanity Fair
7. The Woman in White
8. The Good Soldier
9. The Metamorphosis and Other Stories
10. The Complete Sherlock Holmes  Volume I
11. The Complete Sherlock Holmes  Volume II
12. The Three Musketeers
13. Kim
14. Main Street
15. The Idiot
16. A Tale of Two Cities
17. The House of Mirth
18. The House of Mirth
19. Oliver Twist
20. The Death of Ivan Ilych & Other Stories
21. The Idiot
22. Middlemarch
23. Ward No. 6 and Other Stories
24. Daniel Deronda
25. Essential Dialogues of Plato
26. Republic
27. The Communist Manifesto and Other Writings
28. Essential Tales and Poems
29. The Metamorphosis and Other Stories
30. Sense and Sensibility
31. The Strange Case of Dr. Jekyll and Mr. Hyde and Other Stories
0. Agnes Grey
