1. Stranger in a Strange Land
2. Dragon's Eye (Stonefort  #1)
3. Rose Daughter
4. Changing Planes
5. Tales from Earthsea (Earthsea Cycle  #5)
6. Neuromancer
7. God of Tarot (Tarot  #1)
8. Faith of Tarot (Tarot  #3)
9. Hard Sell
10. Fractal Mode (Mode  #2)
11. Goblin Moon (The Goblin Moon Duology #1)
12. The Work of the Sun (The Green Lion Trilogy #3)
13. The Castle of  the Silver Wheel
14. Rocket Ship Galileo (Heinlein's Juveniles  #1)
15. Starship Troopers
16. The Lost Years of Merlin
17. The Mirror of Merlin
18. The Wings of Merlin
19. The Omega Cage (Matador  #4)
20. The 97th Step (Matador  #5)
21. The Accidental Time Machine
22. The Coming
23. Dragon's Treasure
24. The Moon in Hiding (The Green Lion Trilogy #2)
25. Ship of Fools
26. The Eye of Charon (Age of Conan: Hyborian Adventures: A Soldier's Quest  #2)
27. Furies of Calderon (Codex Alera  #1)
28. Betcha Can't Read Just One
29. Interlopers
30. Magic Bites (Kate Daniels  #1)
31. Galactic Effectuator
32. The Green Pearl (Lyonesse  #2)
33. The Outlaws of Sherwood
34. The Hero and the Crown (Damar  #2)
0. The Once and Future King (The Once and Future King  #1-4)
